Date,Open,High,Low,Close,Volume,Symbol
2022-03-21,160.904,163.702,160.42,162.746,97363832,AAPL
2022-03-18,157.947,161.857,157.218,161.366,125513014,AAPL
2022-03-17,156.083,158.429,155.118,158.055,76840610,AAPL
2022-03-16,154.547,157.453,151.995,157.049,103957778,AAPL
2022-03-15,148.496,153.088,147.984,152.614,94470650,AAPL
2022-03-14,149.036,151.659,147.707,148.218,110493952,AAPL
2022-03-11,156.4,156.743,152.035,152.26,98541358,AAPL
2022-03-10,157.64,157.828,153.491,155.993,107048943,AAPL
2022-03-09,158.901,160.804,156.873,160.35,92936795,AAPL
2022-03-08,156.291,160.282,153.313,154.93,133273342,AAPL
2022-03-07,160.755,162.39,156.508,156.763,97981169,AAPL
2022-03-04,161.867,162.914,159.512,160.567,85177763,AAPL
2022-03-03,165.78,166.215,162.914,163.582,77920901,AAPL
2022-03-02,161.771,164.688,160.35,163.908,81016570,AAPL
2022-03-01,162.065,163.948,159.386,160.596,84827003,AAPL
2022-02-28,160.46,162.785,159.838,162.489,96596879,AAPL
2022-02-25,161.227,162.489,158.311,162.224,93464526,AAPL
2022-02-24,150.152,160.252,149.578,160.145,143434625,AAPL
2022-02-23,162.904,163.504,157.208,157.523,91467712,AAPL
2022-02-22,162.351,164.038,159.562,161.701,92639914,AAPL
2022-02-18,167.113,167.821,163.544,164.628,84113882,AAPL
2022-02-17,168.304,169.172,165.78,166.185,70716935,AAPL
2022-02-16,169.112,170.58,167.337,169.801,62168686,AAPL
2022-02-15,168.245,170.196,167.535,170.041,65327983,AAPL
2022-02-14,164.698,166.875,163.908,166.185,87582037,AAPL
2022-02-11,169.583,170.322,165.357,165.947,100269498,AAPL
2022-02-10,171.359,172.68,168.815,169.38,92338245,AAPL
2022-02-09,173.24,173.832,172.108,173.468,72440105,AAPL
2022-02-08,168.992,172.55,168.699,172.039,76041713,AAPL
2022-02-07,170.11,171.171,168.225,168.923,78502944,AAPL
2022-02-04,168.942,171.32,167.959,169.642,83801628,AAPL
2022-02-03,171.478,173.21,169.162,169.931,90982728,AAPL
2022-02-02,171.732,172.857,170.352,172.818,86400101,AAPL
2022-02-01,171.023,171.832,169.351,171.605,87722497,AAPL
2022-01-31,167.23,171.989,166.589,171.772,117563358,AAPL
2022-01-28,162.864,167.416,159.996,167.396,183084207,AAPL
2022-01-27,159.65,161.022,155.562,156.488,124088622,AAPL
2022-01-26,160.685,161.564,155.108,156.951,110169929,AAPL
2022-01-25,156.251,159.956,154.319,157.039,117824628,AAPL
2022-01-24,157.277,159.503,152.035,158.831,165553758,AAPL
2022-01-21,161.594,163.475,159.503,159.611,124998489,AAPL
2022-01-20,164.117,166.756,161.356,161.681,93020208,AAPL
2022-01-19,167.073,168.135,163.089,163.376,96474080,AAPL
2022-01-18,168.561,169.573,166.492,166.875,92764016,AAPL
2022-01-14,168.393,170.799,168.145,170.101,81848347,AAPL
2022-01-13,172.76,173.587,168.835,169.232,85984457,AAPL
2022-01-12,173.093,174.128,171.812,172.511,76114127,AAPL
2022-01-11,169.361,172.167,167.88,172.068,77470594,AAPL
2022-01-10,166.165,169.534,165.277,169.232,108633756,AAPL
2022-01-07,169.921,171.142,168.086,169.212,88226399,AAPL
2022-01-06,169.661,172.287,168.689,169.042,98599598,AAPL
2022-01-05,176.525,177.075,171.635,171.912,96191839,AAPL
2022-01-04,179.49,179.793,176.04,176.613,101048190,AAPL
2022-01-03,174.768,179.736,174.65,178.878,106533302,AAPL
2021-12-31,175.026,176.147,174.207,174.514,65183234,AAPL
2021-12-30,176.385,177.468,175.026,175.133,60818933,AAPL
2021-12-29,176.246,177.527,175.076,176.295,63439924,AAPL
2021-12-28,177.065,178.208,175.457,176.206,80529221,AAPL
2021-12-27,174.039,177.322,174.019,177.234,76230539,AAPL
2021-12-23,172.828,173.803,172.257,173.25,69552683,AAPL
2021-12-22,170.071,172.838,169.192,172.62,93747502,AAPL
2021-12-21,168.611,170.224,166.205,170.021,92781493,AAPL
2021-12-20,165.386,167.644,164.578,166.825,109380153,AAPL
2021-12-17,167.003,170.491,166.766,168.195,199351746,AAPL
2021-12-16,176.196,178.02,167.811,169.302,152813823,AAPL
2021-12-15,172.098,176.415,169.351,176.216,133356626,AAPL
2021-12-14,172.237,174.679,169.252,171.329,141819285,AAPL
2021-12-13,177.992,178.997,172.511,172.72,155918389,AAPL
2021-12-10,172.187,176.545,171.682,176.365,117422069,AAPL
2021-12-09,171.902,173.714,170.934,171.557,110829706,AAPL
2021-12-08,169.172,172.937,167.762,172.068,119046168,AAPL
2021-12-07,166.165,168.631,165.446,168.235,122512227,AAPL
2021-12-06,161.464,164.993,161.454,162.479,109377984,AAPL
2021-12-03,161.197,162.124,156.98,159.051,120088306,AAPL
2021-12-02,156.003,161.375,155.088,160.942,139131861,AAPL
2021-12-01,164.598,167.366,161.701,161.937,155090128,AAPL
2021-11-30,157.238,162.676,157.178,162.459,177093581,AAPL
2021-11-29,156.634,158.41,156.063,157.493,90301149,AAPL
2021-11-26,156.823,157.69,153.67,154.111,78306407,AAPL
2021-11-24,157.986,159.346,156.901,159.149,70679110,AAPL
2021-11-23,158.341,159.011,156.331,158.627,97722458,AAPL
2021-11-22,158.891,162.854,158.231,158.251,119523363,AAPL
2021-11-19,154.94,158.251,153.838,157.789,119358232,AAPL
2021-11-18,151.058,155.945,150.427,155.158,140239406,AAPL
2021-11-17,148.397,152.329,148.397,150.852,90360961,AAPL
2021-11-16,147.363,148.887,146.77,148.407,60293085,AAPL
2021-11-15,147.787,149.275,146.86,147.421,60259094,AAPL
2021-11-12,145.874,147.815,144.938,147.412,64920462,AAPL
2021-11-11,146.396,146.86,145.135,145.32,41717374,AAPL
2021-11-10,147.441,147.547,145.3,145.37,66327747,AAPL
2021-11-09,147.617,148.829,147.481,148.218,57781615,AAPL
2021-11-08,148.81,148.967,147.577,147.854,55983633,AAPL
2021-11-05,149.285,149.588,147.481,148.684,66609382,AAPL
2021-11-04,148.761,149.598,147.835,148.149,61541098,AAPL
2021-11-03,147.587,149.146,147.026,148.675,55546336,AAPL
2021-11-02,145.884,148.751,145.874,147.225,70434142,AAPL
2021-11-01,146.209,146.907,145.038,146.179,76004181,AAPL
